word,meaning
สาหร่าย,"{'คำนาม': ['ชื่อสิ่งมีชีวิตที่ไม่มีลำต้น ใบ และรากที่แท้จริง แต่มีคลอโรพลาสต์ บ้างเป็นเซลล์เดียว บ้างเป็นกลุ่มเซลล์ เป็นสาย หรือเป็นต้น ขึ้นทั่วไปในน้ำหรือที่ชื้นแฉะ เช่น สาหร่ายไส้ไก่ [Enteromorpha intestinalis (L.) Link] ในวงศ์ Ulvaceae', 'ชื่อพืชดอกบางชนิดซึ่งขึ้นอยู่ในน้ำ เช่น สาหร่ายพุงชะโดหรือสาหร่ายหางม้า (Ceratophyllum demersum L.) ในวงศ์ Ceratophyllaceae สาหร่ายหางกระรอก [Hydrilla verticillata (L. f.) Royle] ในวงศ์ Hydrocharitaceae', 'ชื่อลายประเภทเครื่องห้อยแบบหนึ่ง นิยมประดับริมเสามุขเด็จพระมหาปราสาทหรือพระอุโบสถเป็นต้น']}"
ราบ,"{'คำคุณศัพท์': ['เรียบเสมอพื้นไม่มีลุ่ม ๆ ดอน ๆ', 'ราบเป็นหน้ากลองโดยปริยายหมายความว่า หมดสิ้น', 'ล้มระเนระนาด', 'เรียกทหารเดินเท้าว่า ทหารราบเรียกชายฉกรรจ์ที่อายุครบเข้าประจำการทหาร']}"
อวกาศ,{'คำนาม': ['บริเวณที่อยู่นอกบรรยากาศของโลก']}
โพยม,{'คำนาม': ['ท้องฟ้า']}
ดูไบ,{'คำวิสามานยนาม': ['ชื่อเมืองในสหรัฐอาหรับเอมิเรตส์']}
บางกอก,{'คำวิสามานยนาม': ['กรุงเทพมหานคร']}
บ้านช่องห้องหอ,{'คำนาม': ['บ้านที่อยู่อาศัย']}
รู้จักมักคุ้น,"{'คำกริยา': ['คุ้นเคย, รู้จักเป็นอย่างดี']}"
ทุ่ม,"{'คำกริยา': ['เอาของหนัก ๆ ทิ้งลงไป', 'ทิ้งทับลง, ทิ้งถมลง', 'โดยปริยายหมายถึงอาการที่คล้ายคลึงเช่นนั้น', 'ตี'], 'คำนาม': ['วิธีนับเวลาตามประเพณีสำหรับ 6 ชั่วโมงแรกของกลางคืน ตั้งแต่ 19 นาฬิกา ถึง 24 นาฬิกา เรียกว่า 1 ทุ่ม ถึง 6 ทุ่ม, แต่ 6 ทุ่ม นิยมเรียกว่า สองยาม', 'เวลา']}"
เช้ามืด,"{'คำนาม': ['เวลาจวนสว่าง', 'เวลา']}"
ว่าความ,"{'คำกริยา': ['ดำเนินคดีหรือต่อสู้คดีในศาลอย่างทนายความ เช่น ทำคำฟ้อง คำให้การ ซักถามพยาน', 'ชำระความ']}"
ว่าแต่เขาอิเหนาเป็นเอง,"{'คำกริยา': ['ตำหนิผู้อื่นเรื่องใดแล้วตนก็กลับทำในเรื่องนั้นเสียเอง', 'ศัพท์ภาษาไทยที่มาจากชื่อบุคคล']}"
ดำเนินคดี,"{'คำกริยา': ['ฟ้องร้องต่อศาล', 'ร้องทุกข์ กล่าวโทษ สอบสวน ฟ้องคดี หรือพิจารณาพิพากษาคดีตามกฎหมายวิธีพิจารณาความ']}"
ข้อแม้,{'คำนาม': ['เงื่อนไขที่กำหนดไว้']}
ข้ออ้าง,{'คำนาม': ['สิ่งที่นำมาอ้างสนับสนุนความคิดเห็นหรือการกระทำของตน']}
ข้อพิพาท,{'คำนาม': ['ข้อขัดแย้งหรือโต้แย้งระหว่างผู้เป็นคู่กรณี']}
ครวญ,{'คำกริยา': ['ร้องรำพัน']}
ครวญคราง,{'คำกริยา': ['ครางเรื่อย ๆ ไป']}
อาสาสมัคร,"{'คำคุณศัพท์': ['ที่เสนอตัวเข้าทำงานด้วยความสมัครใจ'], 'คำนาม': ['บุคคลที่เสนอตัวเข้าทำงานด้วยความสมัครใจ']}"
ศักดิ์ศรี,{'คำนาม': ['เกียรติศักดิ์']}
ศักดิ์,"{'คำนาม': ['อำนาจ, ความสามารถ', 'กำลัง', 'ฐานะ', 'หอก, หลาว']}"
สัค,{'คำนาม': ['สวรรค์']}
สัคคะ,{'คำนาม': ['สวรรค์']}
ปลดเปลื้อง,"{'คำกริยา': ['ทำให้หลุดพ้นเพื่อแบ่งเบาหรือให้หมดไป, เปลื้อง ก็ว่า']}"
ปลด,"{'คำกริยา': ['เอาออก (ใช้แก่สิ่งที่เกี่ยวอยู่ แขวนอยู่ คล้องอยู่ หรือขัดอยู่ เป็นต้น)', 'โดยปริยายหมายความว่า ทำให้พ้นจากข้อผูกพันหรือพ้นจากตำแหน่งหน้าที่']}"
เปลื้อง,"{'คำกริยา': ['เอาออก (ใช้แก่เครื่องแต่งตัวที่นุ่งห่มหรือคลุมอยู่)', 'ทำให้หลุดพ้นเพื่อแบ่งเบาหรือให้หมดไป, ปลดเปลื้อง ก็ว่า']}"
แบ่งเบา,{'คำกริยา': ['แบ่งภาระหนักให้เบาลง']}
จาบัล,"{'คำกริยา': ['หวั่นไหว, กระสับกระส่าย', 'กำสรด, ร้องไห้คร่ำครวญ, สะอึกสะอื้น']}"
ธรณี,"{'คำนาม': ['แผ่นดิน', 'พื้นแผ่นดิน', 'โลก']}"
สุภาพ,"{'คำคุณศัพท์': ['เรียบร้อย, อ่อนโยน, ประพฤติดี, ละมุนละม่อม']}"
ภูมิภาค,"{'คำนาม': ['หัวเมือง', 'อาณาบริเวณที่มีลักษณะบางอย่างเช่นลักษณะทางธรรมชาติ ทางเศรษฐกิจ ทางวัฒนธรรม ทางการเมือง คล้ายคลึงกันจนสามารถจัดเข้าพวกกันได้ และแตกต่างกับบริเวณใกล้เคียงโดยรอบ']}"
ตะกั่ว,"{'คำนาม': ['แร่จำพวกโลหะ มีลักษณะอ่อน ละลายตัวง่าย มีหลายชนิดด้วยกัน ได้แก่ ตะกั่วเกรียบ คือ ตะกั่วกรอบ ตะกั่วนม คือ ตะกั่วอ่อน', 'ดีบุก', 'ธาตุลำดับที่ 82 สัญลักษณ์ Pb โลหะสีขาวแกมน้ำเงิน ลักษณะเป็นของแข็งเนื้ออ่อน หลอมละลายที่ 327.4 องศาเซลเซียส ใช้ประโยชน์ผสมกับโลหะอื่นให้เป็นโลหะเจือ สารประกอบของตะกั่วใช้ในอุตสาหกรรมสีทา ตะกั่วและสารประกอบของตะกั่วเป็นพิษต่อร่างกาย']}"
แขนง,"{'คำนาม': ['กิ่งไม้เล็ก ๆ ที่แตกใหม่จากลำของไม้พวกไม้ไผ่', 'กิ่งไม้เล็ก ๆ ที่แยกออกจากกิ่งใหญ่', 'โดยปริยายหมายถึงส่วนย่อยที่แยกจากส่วนใหญ่', 'เต่าเหลือง'], 'คำกริยา': ['แหนง, แคลง', 'ใช้ในการต่อของให้ราคาต่ำ ถือเป็นลางบอกว่าจะขายไม่ได้ราคาดีต่อไป']}"
รสายนเวท,"{'คำนาม': ['วิชาประสมแร่แปรธาตุ, วิชาเคมียุคเล่นแร่แปรธาตุ']}"
สัมปทานการก,"{'คำนาม': ['การกที่ทำหน้าที่แสดงกรรมทางอ้อม อาจเรียกว่ากรรมรอง ในบางภาษาอาจมีการผันคำนาม พร้อมกับ/หรือคำกำกับนาม เพื่อแสดงหน้าที่นี้ในประโยค และบางภาษาจะใช้บุพบทแสดงหน้าที่นี้แทน เช่น ภาษาไทยจะใช้บุพบท ""แก่..."", ""เพื่อ..."", ""ให้..."" หรือ ""ต่อ...""', 'จีน:', 'จีนกลาง: , ', 'ฝรั่งเศส: ', 'ละติน: ', 'ลาว: ', 'สเปน: ', 'อังกฤษ: ', 'เยอรมัน: , ', 'กรรมการก (กรรมตรง)']}"
ประแจ,"{'คำนาม': ['กุญแจ', 'เครื่องมือชนิดหนึ่งสำหรับขันน็อต', 'กุญแจ']}"
นิยมสรรพนาม,{'คำนาม': ['สรรพนามชี้ระยะที่กำหนดให้รู้ความใกล้ไกลของนามกับผู้พูดและผู้ฟัง ในภาษาไทยได้แก่คำว่า นี่ นั่น โน่น นี้ นั้น โน้น เป็นต้น']}
อนิยมสรรพนาม,{'คำนาม': ['สรรพนามบอกความไม่เจาะจง ไม่กำหนดแน่นอนลงไปว่านามนั้นเป็นสิ่งใด ในภาษาไทยได้แก่คำว่า ใคร อะไร ไหน  เมื่อไหร่ สิ่งใด แบบเป็นคำถามแต่ไม่ใช่คำถาม']}
บุรุษสรรพนาม,{'คำนาม': ['สรรพนามใช้แทนชื่อบุคคล แบ่งออกเป็นสามชนิด คือ บุรุษที่หนึ่ง แทนชื่อผู้พูด เช่น ดิฉัน กระผม บุรุษที่สอง แทนชื่อผู้ที่พูดด้วย เช่น คุณ ท่าน เธอ และบุรุษที่สาม แทนชื่อผู้ที่ถูกกล่าวถึง เช่น เขา มัน']}
ประพันธสรรพนาม,{'คำนาม': ['สรรพนามที่ใช้แทนนามหรือสรรพนามที่อยู่ติดกันข้างหน้า ทำหน้าที่เชื่อมประโยค ในภาษาไทยได้แก่คำว่า ผู้ ที่ ซึ่ง อัน']}
วิภาคสรรพนาม,{'คำนาม': ['สรรพนามที่ใช้แทนนาม เพื่อเน้นความหรือกล่าวซ้ำอีกครั้งหนึ่ง อาจแสดงความหมายรวม เช่น กัน หรือความหมายแยก เช่น ต่าง บ้าง']}
ปฤจฉาสรรพนาม,{'คำนาม': ['สรรพนามที่มีความหมายเป็นคำถาม ในภาษาไทยได้แก่คำว่า ใคร อะไร ผู้ใด สิ่งใด อันไหน เป็นต้น']}
มไหศวรรย์,"{'คำนาม': ['อำนาจใหญ่', 'สมบัติใหญ่', 'ความเป็นใหญ่ในแผ่นดิน']}"
วัฏจักร,{'คำนาม': ['ช่วงระยะเวลาของเหตุการณ์หรือกิจกรรมชุดหนึ่งซึ่งเกิดขึ้นและดำเนินติดต่อกันไปอย่างมีระเบียบจนจบลง ณ จุดเริ่มต้นนั้นอีก']}
ศรัทธา,"{'คำนาม': ['ความเชื่อ, ความเลื่อมใส'], 'คำกริยา': ['เชื่อ, เลื่อมใส']}"
สักการะ,{'คำกริยา': ['บูชาด้วยสิ่งหรือเครื่องอันพึงบูชา เช่น ดอกไม้ ธูป เทียน']}
ท่ามกลาง,"{'คำนาม': ['ที่ซึ่งอยู่ระหว่างกลางสิ่งแวดล้อม'], 'คำบุพบท': ['ระหว่างกลางสิ่งแวดล้อม']}"
ร้าย,"{'คำคุณศัพท์': ['ดุ', 'ชั่ว', 'ไม่ดี', 'ที่เป็นอันตราย'], 'คำนาม': ['ความไม่ดี']}"
สาธารณรัฐ,{'คำนาม': ['ประเทศหรือการปกครองที่มีประธานาธิบดีเป็นประมุข']}
จำหน่าย,"{'คำกริยา': ['ขาย, จ่าย, แจก, แลกเปลี่ยน, โอน', 'เอาออก']}"
ตรวจ,"{'คำกริยา': ['พิจารณาดูความเรียบร้อย เช่น ตรวจพล ตรวจราชการ', 'พิจารณา ดูว่าถูกหรือผิด ดีหรือร้าย เป็นต้น เช่น ตรวจบัญชี ตรวจแบบฝึกหัด ตรวจดวงชะตา', 'พิจารณาหาสมุฏฐาน เช่น ตรวจโรค, สำรวจ เช่น ตรวจพื้นที่'], 'คำนาม': ['ชื่อเรือชนิดหนึ่ง']}"
อ้อนวอน,{'คำกริยา': ['พยายามพูดขอร้อง']}
เม็ด,"{'คำนาม': ['ส่วนภายในของผลไม้ที่เพาะเป็นต้นขึ้นได้, เมล็ด ก็ว่า ', 'ของที่เป็นก้อนกลม ๆ ขนาดเล็ก ', 'ตัวหมากรุกที่เวลาตั้งกระดานใหม่วางอยู่ข้างขวาขุน ', 'ปลายเสาที่มักกลึงเป็นรูปกลมและมียอดคล้ายตัวเม็ดของหมากรุก, ที่ปลายเป็นรูปเหลี่ยมก็มี, เรียกว่า หัวเม็ด'], 'คำลักษณนาม': ['เรียกของที่เป็นก้อนเป็นตุ่มเล็ก ๆ'], 'คำวิสามานยนาม': ['ปีมะแม']}"
สังเกต,"{'คำกริยา': ['กำหนดไว้, หมายไว้', 'ตั้งใจดู, จับตาดู']}"
ไทร,{'คำนาม': ['ชื่อไม้ต้นในสกุล  วงศ์  มีหลายชนิด']}
กถิกาจารย์,{'คำนาม': ['อาจารย์ผู้กล่าว']}
บานเย็น,"{'คำนาม': ['ชื่อไม้พุ่มขนาดเล็กชนิด Mirabilis jalapa L. ในวงศ์  รากอวบ ใบเดี่ยว โคนดอกเป็นหลอด ปลายบานเป็น 5 แฉก บานในเวลาเย็น มีหลายสี เช่น ขาว แดงอมม่วง เหลือง รากใช้ทำยาได้'], 'คำคุณศัพท์': ['สีแดงอมม่วง']}"
ราชบัลลังก์,"{'คำนาม': ['บัลลังก์ของพระมหากษัตริย์', 'ความเป็นพระมหากษัตริย์']}"
ปิ๊,{'คำนาม': ['อวัยวะเพศหญิง']}
โรงพิมพ์,{'คำนาม': ['สถานที่พิมพ์หนังสือและสิ่งพิมพ์อื่น ๆ']}
ข้อมูลดิบ,{'คำนาม': ['ข้อมูลที่เก็บรวบรวมไว้ซึ่งยังไม่ได้ผ่านการประมวลผล']}
ล้าน,"{'คำคุณศัพท์': ['ลักษณะของหัวที่ไม่มีผมมาแต่กำเนิดหรือผมร่วงแล้วไม่ขึ้นอีก', 'โดยปริยายเรียกสิ่งอื่นที่มีลักษณะคล้ายคลึงเช่นนั้น']}"
แสน,"{'คำนาม': ['ตำแหน่งนายทหารครั้งโบราณทางภาคพายัพ (ภาคเหนือ)'], 'คำกริยาวิเศษณ์': ['มากยิ่ง', 'เหลือเกิน']}"
บันไดเลื่อน,{'คำนาม': ['บันไดที่เคลื่อนได้ด้วยกำลังไฟฟ้า']}
ทหารแตงโม,{'คำนาม': ['ทหารที่เป็นสมาชิก นปช.']}
มือที่มองไม่เห็น,"{'คำนาม': ['กลไกตลาด ซึ่งชักนำให้ผู้บริโภคและผู้ผลิตปรับตัวเมื่อเกิดการเปลี่ยนแปลงทางเศรษฐกิจ', 'บุคคลที่คาดว่าอยู่เบื้องหลังการเคลื่อนไหวหรือเหตุการณ์รุนแรงต่าง ๆ แต่ไม่สามารถชี้ชัดได้เนื่องจากขาดหลักฐาน']}"
ไมโครโฟน,"{'คำนาม': ['เครื่องที่ใช้สำหรับขยายเสียงให้ดังขึ้น', 'เครื่องที่ใช้สำหรับเปลี่ยนคลื่นเสียงให้เป็นคลื่นแม่เหล็กไฟฟ้า เช่นในการส่งวิทยุ โทรศัพท์, มักเรียกกันสั้น ๆ ว่า ไมค์']}"
เอลฟ์,{'คำนาม': ['ชนเผ่าหนึ่งในเทพนิยาย มีรูปร่างคล้ายมนุษย์แต่สูงโปร่งและงดงามกว่า ผิวและเรือนผมสีอ่อน มีอายุขัยยาวนานเป็นพัน ๆ ปีเสมือนเป็นอมตะ มักสร้างอาณาจักรอยู่ในป่าเขา โดยมากมีเวทมนตร์']}
อุลกมณี,{'คำนาม': ['อุกกาบาตที่นำมาเจียระไนทำเป็นเครื่องประดับ เชื่อว่าเป็นเครื่องรางอย่างหนึ่ง']}
เน็ต,"{'คำนาม': ['ตาข่าย', 'อินเทอร์เน็ต']}"
โผด,{'คำกริยา': ['ปล่อย']}
ซอ,"{'คำนาม': ['ตอไม้ไผ่ค่อนข้างยาวที่เหลืออยู่ที่กอ', 'ชื่อเครื่องดนตรีพวกหนึ่งสำหรับสี ในพวกเครื่องสายหรือมโหรี มีคันชักสีให้ดัง'], 'คำกริยา': ['ร้องเพลง, ขับร้อง']}"
ไอราวัณ,{'คำวิสามานยนาม': ['ช้าง 33 เศียรเป็นพาหนะของพระอินทร์']}
อุรเคนทร์,{'คำนาม': ['พญานาค']}
ไอศวรรย์,"{'คำนาม': ['ความเป็นเจ้าเป็นใหญ่, ความเป็นพระเจ้าแผ่นดิน', 'อำนาจ', 'สมบัติแห่งพระราชาธิบดี']}"
ธนบุรี,"{'คำวิสามานยนาม': ['ชื่อเขตหนึ่งในกรุงเทพมหานคร', 'ชื่อฝั่งทางตะวันตกของกรุงเทพมหานคร', 'ชื่ออาณาจักรสยามในช่วงปี พ.ศ. 2310-2325']}"
ปฐม,"{'คำคุณศัพท์': ['ประถม, ลำดับแรก, ลำดับเบื้องต้น', 'ชั้นที่ 1, เรียกเครื่องราชอิสริยาภรณ์ชั้นที่ 1 ในตระกูลจุลจอมเกล้าว่า ปฐมจุลจอมเกล้า ปฐมจุลจอมเกล้าวิเศษ']}"
ประถม,"{'คำคุณศัพท์': ['ปฐม, ลำดับแรก, ลำดับเบื้องต้น', 'ชั้นที่ 1, เรียกเครื่องราชอิสริยาภรณ์ชั้นที่ 1 ในตระกูลช้างเผือกและมงกุฎไทยว่า ประถมาภรณ์ช้างเผือก ประถมาภรณ์มงกุฎไทย']}"
เอกา,"{'คำคุณศัพท์': ['หนึ่ง, คนเดียว, โดดเดี่ยว', 'ถือกินข้าวหนเดียวในเวลาระหว่างเช้าถึงเที่ยงเป็นกิจวัตร เรียกว่า ถือเอกา']}"
สัตม,"{'คำคุณศัพท์': ['ที่ 7', 'เจ็ด']}"
นวม,"{'คำนาม': ['สิ่งที่มีของอ่อนนุ่มอยู่ข้างใน เพื่อให้ความอบอุ่นหรือเพื่อป้องกันการเสียดสี การกดดัน การกระทบกระทั่งเป็นต้น', 'เรียกผ้าห่มนอนที่มีลักษณะเช่นนั้นว่า ผ้านวม', 'เรียกกาน้ำที่มีนวมหุ้มเพื่อเก็บความร้อนไว้ได้นานว่า กานวม', 'เรียกปี่พาทย์ที่ตีด้วยไม้พันด้วยนวมว่า ปี่พาทย์ไม้นวม']}"
นวมินทร์,{'คำนาม': ['ผู้เป็นใหญ่องค์ที่ 9 หมายถึง พระเจ้าอยู่หัวรัชกาลที่ 9']}
ทศ,"{'คำนาม': ['เรียกเหรียญทองสมัยรัชกาลที่ 4 ชนิดหนึ่ง มีค่าเท่ากับ 1 ใน 10 ของชั่ง = 8 บาท ว่า ทองทศ', 'ชายผ้า, ชายครุย']}"
วรรช,"{'คำนาม': ['โทษ, ความผิด']}"
วัจฉ์,{'คำนาม': ['ลูกวัว']}
ทศวรรษ,{'คำนาม': ['รอบ 10 ปี']}
สหัสวรรษ,"{'คำนาม': ['รอบ 1,000 ปี', 'พัน']}"
คาว,"{'คำนาม': ['กลิ่นเหม็นอย่างหนึ่งอย่างกลิ่นปลาสดเนื้อสด', 'โดยปริยายหมายถึงความเสื่อมเสีย ความมัวหมอง มลทิน', 'เรียกกับข้าวว่า ของคาว, คู่กับ ขนม ว่า ของหวาน', 'ข่าว']}"
คาวี,"{'คำนาม': ['วัว, วัวตัวเมีย']}"
อักขรานุกรม,{'คำนาม': ['หนังสือสำหรับค้นชื่อเรียงลำดับตามตัวอักษร']}
อุกกา,{'คำนาม': ['คบเพลิง']}
อุกลา,{'คำนาม': ['คบเพลิง']}
บาต,"{'คำนาม': ['การตก, การตกไป, มักใช้ประกอบหลังคำอื่น']}"
บาศ,{'คำนาม': ['บ่วง']}
บาศก์,"{'คำนาม': ['ลูกเต๋า, ลูกสกา, ใช้ว่า ลูกบาศก์']}"
ปลั่ง,"{'คำคุณศัพท์': ['ผ่องใส, มีน้ำนวล']}"
ผวย,{'คำนาม': ['เรียกผ้าห่มนอนว่า ผ้าผวย']}
มลทิน,"{'คำนาม': ['ความมัวหมอง, ความด่างพร้อย, ความไม่บริสุทธิ์']}"
สัตว์กินเนื้อ,{'คำนาม': ['สัตว์ที่ดำรงอยู่ได้โดยการกินเนื้อสัตว์อื่นเป็นอาหาร']}
สัตว์กินพืช,{'คำนาม': ['สัตว์ที่ดำรงอยู่ได้ด้วยการกินพืชเป็นอาหาร']}
บรรเลง,{'คำกริยา': ['ทำเพลงด้วยเครื่องดุริยางค์ให้เป็นที่เจริญใจ']}
โคก,"{'คำนาม': ['ที่ดินที่นูนสูงขึ้นคล้ายเนิน แต่เตี้ยกว่า', 'ชื่อปลาทะเลทุกชนิดในสกุล Anodontostoma และ Nematalosa วงศ์ Clupeidae หัวเล็ก ปากเล็ก ลำตัวสั้น แบนข้าง ท้องเป็นสันแหลม เกล็ดที่สันท้องเป็นเหลี่ยมคมเรียงต่อกันคล้ายฟันเลื่อย พื้นลำตัวสีเงิน อยู่รวมกันเป็นฝูงเล็ก ๆ ตามชายฝั่งที่มีพื้นท้องทะเลเป็นโคลน, ตะเพียนน้ำเค็ม ก็เรียก'], 'คำคุณศัพท์': ['ที่นูนสูงขึ้น']}"
น.ด.,{'คำนาม': ['ปริญญา']}
ดุษฎี,"{'คำนาม': ['ความยินดี, ความชื่นชม']}"
บัณฑิต,"{'คำนาม': ['ผู้ทรงความรู้, ผู้มีปัญญา, นักปราชญ์', 'ผู้สำเร็จการศึกษาขั้นปริญญาซึ่งมี 3 ขั้น คือ ปริญญาตรี ปริญญาโท ปริญญาเอก เรียกว่า บัณฑิต มหาบัณฑิต ดุษฎีบัณฑิต', 'ผู้มีความสามารถเป็นพิเศษโดยกำเนิด', 'ปริญญา']}"
ร้อนตัว,{'คำกริยา': ['กลัวว่าโทษหรือความเดือดร้อนจะมาถึงตัว']}
สังหาร,"{'คำกริยา': ['ฆ่า, ผลาญชีวิต']}"
ตบ,"{'คำนาม': ['ชื่อไม้น้ำในวงศ์ Pontederiaceae มี 2 ชนิด คือ ชนิด Monochoria hastata (L.) Solms ขึ้นตามท้องนาที่แฉะและน้ำนิ่ง ดอกสีน้ำเงิน ยอดอ่อนและดอกกินได้, คำสุภาพเรียกว่า ผักสามหาว, และชนิด Eichhornia crassipes (C. Martius) Solms-Laub. ขึ้นตามลำน้ำทั่วไป ดอกสีม่วงอ่อน เรียกว่า ผักตบชวา'], 'คำกริยา': ['เอาฝ่ามือหรือของแบน ๆ เป็นต้นตีอย่างแรง', 'เอาฝ่ามือแตะเบา ๆ ด้วยความเอ็นดู', 'หมุนพวงมาลัยอย่างรวดเร็วเพื่อให้รถเปลี่ยนทางวิ่งในทันที', 'ให้เพื่อตอบแทนความดีความชอบ']}"
ตกรางวัล,{'คำกริยา': ['ให้รางวัล']}
ตบรางวัล,{'คำกริยา': ['ให้รางวัล']}
พะงา,"{'คำนาม': ['นางงาม'], 'คำคุณศัพท์': ['สวย, งาม']}"
เพา,{'คำคุณศัพท์': ['งาม']}
เบาใจ,"{'คำกริยา': ['ไม่หนักใจ, โล่งใจ'], 'คำคุณศัพท์': ['ไม่หนักใจ, โล่งใจ']}"
ยุ้ย,{'คำคุณศัพท์': ['ยื่นโป่งออกมาอย่างน่ารักน่าเอ็นดู']}
บ้องแบ๊ว,"{'คำคุณศัพท์': ['มีหน้าตาพิลึก', 'มีสีหน้าและแววตาใสซื่อบริสุทธิ์อย่างเด็กไร้เดียงสาแลดูน่ารัก']}"
เดียง,"{'คำกริยา': ['รู้', 'ตีลง, ทุบลง, ฟาดลง']}"
ลอบ,"{'คำนาม': ['ชื่อเครื่องสานสำหรับดักปลา กุ้ง ปู เป็นต้น มีหลายชนิด', 'ตาข่ายที่ขึงดักจับนก'], 'คำกริยา': ['แอบทำโดยไม่ให้ผู้อื่นรู้เห็น']}"
ไม้มืด,{'คำนาม': ['การลอบทำร้าย']}
ผลู,{'คำนาม': ['ทาง']}
ผลุย,{'คำกริยาวิเศษณ์': ['อาการที่เชือกหรือปมหลุดโดยเร็ว']}
ผลุด,"{'คำกริยา': ['หลุดเข้าหรือออกโดยเร็ว', 'มุดเข้าหรือออกโดยเร็ว']}"
ผละ,"{'คำกริยา': ['แยกออก, ละไว้', 'ทิ้งไป']}"
ทิฐิ,"{'คำนาม': ['ความเห็น', 'ความอวดดื้อถือดี']}"
ทฤษฎี,"{'คำนาม': ['ความเห็น', 'การเห็น, การเห็นด้วยใจ', 'ลักษณะที่คิดคาดเอาตามหลักวิชา เพื่อเสริมเหตุผลและรากฐานให้แก่ปรากฏการณ์หรือข้อมูลในภาคปฏิบัติ ซึ่งเกิดขึ้นมาอย่างมีระเบียบ']}"
น่า,"{'คำกริยาวิเศษณ์': ['ชวนให้, ทำให้อยากจะ'], 'คำกริยา': ['สมควรถูกตำหนิหรือลงโทษ'], 'คำนาม': ['หน้า (หนังสือ) ']}"
น่ารัก,"{'คำคุณศัพท์': ['มีลักษณะชวนให้รักให้เอ็นดู'], 'คำกริยา': ['ชวนให้รัก, ชวนให้เอ็นดู', 'มีมนุษยสัมพันธ์ดี, มีไมตรีจิต']}"
โชน,"{'คำกริยาวิเศษณ์': ['อาการที่ไหม้ทั่วเต็มที่', 'แรง, เร็ว']}"
บาดหมาง,"{'คำกริยา': ['โกรธเคืองกัน, หมองใจกัน, ผิดใจกัน']}"
หมาง,"{'คำกริยา': ['กระดาก', 'อาการที่ห่างเหินกันเพราะขุ่นเคืองใจหรือผิดใจกันเป็นต้น, หมาง ๆ ก็ว่า', 'บาดหมาง', 'หมองหมาง', 'หมางใจ', 'หมางเมิน']}"
องค์,"{'คำนาม': ['ส่วนของร่างกาย, อวัยวะ', 'ตัว (ใช้แก่หม่อมเจ้า)', 'ส่วนย่อยที่เป็นองค์ประกอบ', 'องคชาต'], 'คำลักษณนาม': ['ในราชาศัพท์ใช้เป็นลักษณนามเรียกอวัยวะ สิ่งของ หรือคำพูด เป็นต้น ของกษัตริย์หรือเจ้านาย', 'ลักษณนามใช้เรียกสิ่งที่เคารพบูชาบางอย่างในทางศาสนา', 'ลักษณนามใช้เรียกภิกษุสามเณร']}"
เฝอ,{'คำนาม': ['ก๋วยเตี๋ยวน้ำแบบญวน น้ำซุปข้น ใส่หมูยอ กระเทียมเจียว']}
แหนม,"{'คำนาม': ['อาหารอย่างหนึ่ง ทำด้วยหมู หมักให้เปรี้ยว', 'อวัยวะเพศชาย']}"
แหนมเนือง,{'คำนาม': ['อาหารเวียดนามชนิดหนึ่ง ประกอบด้วยแผ่นแป้งบาง ๆ ห่อหมูบดปรุงรส ปั้นเป็นก้อน เสียบไม้ย่าง ใส่เครื่องต่าง ๆ มีกล้วยดิบ กระเทียม มะเฟืองดิบ รับประทานกับน้ำจิ้ม และผักสดหลายชนิดเช่น ผักแพว สะระแหน่ ผักกาดหอม เป็นต้น']}
ซื่อตรง,"{'คำกริยา': ['ประพฤติตรงไม่เอนเอียง', 'ไม่คดโกง']}"
เหน็ด,"{'คำกริยา': ['อ่อนเพลียเพราะทำงาน, มักใช้เข้าคู่กับคำ เหนื่อย เป็น เหน็ดเหนื่อย หรือ เหนื่อยเหน็ด']}"
วิรุฬห์,"{'คำคุณศัพท์': ['เจริญ, งอกงาม']}"
มัตสยา,{'คำนาม': ['ปลา']}
เสนีย์,"{'คำนาม': ['จอมทัพ, ผู้นำทัพ']}"
เชียง,"{'คำนาม': ['เรียกเครื่องหอมชนิดหนึ่งว่า ชะมดเชียง', 'โกฐเชียง', 'ชาม']}"
ปรมาภิไธย,{'คำนาม': ['ชื่อ (ใช้เฉพาะพระบาทสมเด็จพระเจ้าอยู่หัว)']}
รูปการณ์,"{'คำนาม': ['ลักษณะของเรื่องราว, เค้ามูลของเรื่องราว']}"
ปราการ,{'คำนาม': ['กำแพงสำหรับป้องกันการรุกราน']}
อธิป,"{'คำนาม': ['พระเจ้าแผ่นดิน', 'นาย, หัวหน้า, ผู้เป็นใหญ่']}"
อธิ,"{'คำคุณศัพท์': ['ยิ่ง, ใหญ่']}"
ทรราช,"{'คำนาม': ['ผู้ปกครองบ้านเมืองที่ใช้อำนาจตามอำเภอใจ ทำความเดือดร้อนทารุณให้แก่ผู้อยู่ใต้การปกครองของตน, เรียกลัทธิเช่นนั้นว่า ทรราชย์ หรือ ระบบทรราชย์']}"
องคมนตรี,{'คำนาม': ['ตำแหน่งที่มีหน้าที่ถวายความเห็นต่อพระมหากษัตริย์ในพระราชกรณียกิจทั้งปวงที่พระมหากษัตริย์ทรงปรึกษา และมีหน้าที่อื่นตามที่บัญญัติในรัฐธรรมนูญ']}
รชตะ,{'คำนาม': ['เงิน (โลหะ)']}
อานันท์,"{'คำนาม': ['ความเพลิดเพลิน, ความยินดี, ความปลื้มใจ']}"
